model,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,episode,config,r_horiz_km,r_vert_km
Heuristic,0,1,0,-508.88,281,1.0,281,0.01935,16,Scale 120%,12.0,6.0
Heuristic,0,1,0,-513.93,553,1.0,553,0.01997,17,Scale 120%,12.0,6.0
Heuristic,0,1,0,-504.21,442,0.999,442,0.02226,18,Scale 120%,12.0,6.0
Heuristic,0,1,0,-503.79,286,0.998,286,0.01995,19,Scale 120%,12.0,6.0
Heuristic,0,1,0,-506.29,262,0.999,262,0.01846,20,Scale 120%,12.0,6.0
Heuristic,0,1,0,-510.14,450,0.999,450,0.01989,21,Scale 120%,12.0,6.0
Heuristic,0,1,0,-501.58,385,0.997,385,0.0219,22,Scale 120%,12.0,6.0
Heuristic,0,1,0,-518.65,1605,0.996,1326,0.0148,23,Scale 120%,12.0,6.0
Heuristic,0,1,0,-511.93,1750,0.994,1491,0.01692,24,Scale 120%,12.0,6.0
Heuristic,0,1,0,-501.84,321,0.998,321,0.02208,25,Scale 120%,12.0,6.0
Heuristic,0,1,0,-506.38,201,1.0,201,0.01811,26,Scale 120%,12.0,6.0
Heuristic,0,1,0,-505.8,511,1.0,511,0.02026,27,Scale 120%,12.0,6.0
Heuristic,0,1,0,-547.15,1943,0.998,1164,0.0141,28,Scale 120%,12.0,6.0
Heuristic,0,1,0,-512.32,504,0.998,504,0.01999,29,Scale 120%,12.0,6.0
Heuristic,0,1,0,-504.02,134,0.998,134,0.01803,30,Scale 120%,12.0,6.0
Heuristic,0,1,0,-507.39,481,0.999,481,0.01993,31,Scale 120%,12.0,6.0
Heuristic,0,1,0,-505.87,238,0.998,238,0.01933,32,Scale 120%,12.0,6.0
Heuristic,0,1,0,-502.66,303,0.998,303,0.02081,33,Scale 120%,12.0,6.0
Heuristic,0,1,0,-579.21,2011,0.99,1136,0.01131,34,Scale 120%,12.0,6.0
Heuristic,0,1,0,-503.26,368,0.996,368,0.02123,35,Scale 120%,12.0,6.0
Heuristic,0,0,0,-226.36,3999,1.619,1133,0.0044,36,Scale 120%,12.0,6.0
Heuristic,0,1,0,-514.32,488,0.998,488,0.01901,37,Scale 120%,12.0,6.0
Heuristic,0,1,0,-509.11,520,1.0,520,0.02085,38,Scale 120%,12.0,6.0
Heuristic,0,1,0,-503.63,113,0.998,113,0.01672,39,Scale 120%,12.0,6.0
Heuristic,0,0,0,-196.45,3999,1.448,1210,0.00603,40,Scale 120%,12.0,6.0
