episode,opponent,success,text_width
245,pd_anchor,True,596
246,pd_anchor,True,596
247,pd_anchor,True,596
248,pd_anchor,True,596
249,past_self_00239,False,528
250,pd_anchor,True,596
251,pd_anchor,True,596
252,pd_anchor,True,596
253,pd_anchor,True,596
254,pd_anchor,False,492
255,pd_anchor,False,492
256,pd_anchor,True,596
257,pd_anchor,True,596
258,pd_anchor,False,492
259,pd_anchor,True,596
260,pd_anchor,False,492
261,past_self_00239,False,528
262,pd_anchor,False,492
263,pd_anchor,True,596
264,pd_anchor,False,492
265,pd_anchor,True,596
266,pd_anchor,False,492
267,pd_anchor,True,596
268,pd_anchor,True,596
269,pd_anchor,True,596
270,pd_anchor,True,596
271,pd_anchor,True,596
272,pd_anchor,True,596
273,pd_anchor,True,596
274,past_self_00239,False,528
275,pd_anchor,True,596
276,pd_anchor,False,492
277,pd_anchor,False,492
278,pd_anchor,True,596
279,pd_anchor,True,596
280,pd_anchor,True,596
281,pd_anchor,True,596
282,pd_anchor,True,596
283,pd_anchor,True,596
284,pd_anchor,True,596
285,pd_anchor,True,596
286,pd_anchor,True,596
287,pd_anchor,False,492
288,pd_anchor,False,492
289,pd_anchor,True,596
290,pd_anchor,True,596
291,pd_anchor,True,596
292,pd_anchor,True,596
293,pd_anchor,True,596
294,pd_anchor,True,596
295,pd_anchor,True,596
296,pd_anchor,False,492
297,pd_anchor,True,596
298,pd_anchor,True,596
299,pd_anchor,True,596
300,pd_anchor,True,596
301,pd_anchor,True,596
302,pd_anchor,True,596
303,pd_anchor,True,596
304,pd_anchor,True,596
305,pd_anchor,True,596
306,pd_anchor,True,596
307,past_self_00299,False,528
308,pd_anchor,True,596
309,pd_anchor,False,492
310,pd_anchor,True,596
311,pd_anchor,True,596
312,pd_anchor,True,596
313,pd_anchor,True,596
314,pd_anchor,False,492
315,pd_anchor,True,596
316,pd_anchor,True,596
317,pd_anchor,False,492
318,pd_anchor,True,596
319,pd_anchor,False,492
320,pd_anchor,True,596
321,past_self_00239,False,528
322,pd_anchor,True,596
323,pd_anchor,False,492
324,pd_anchor,False,492
325,pd_anchor,True,596
326,pd_anchor,True,596
327,pd_anchor,True,596
328,pd_anchor,True,596
329,pd_anchor,True,596
330,pd_anchor,True,596
331,pd_anchor,False,492
332,pd_anchor,True,596
333,pd_anchor,True,596
334,pd_anchor,True,596
335,pd_anchor,True,596
336,pd_anchor,True,596
337,pd_anchor,True,596
338,pd_anchor,True,596
339,pd_anchor,True,596
340,pd_anchor,True,596
341,pd_anchor,False,492
342,pd_anchor,True,596
343,pd_anchor,True,596
344,pd_anchor,True,596
345,pd_anchor,True,596
346,pd_anchor,True,596
347,pd_anchor,True,596
348,pd_anchor,True,596
349,pd_anchor,True,596
350,pd_anchor,True,596
351,pd_anchor,True,596
352,pd_anchor,True,596
353,pd_anchor,True,596
354,pd_anchor,True,596
355,pd_anchor,True,596
356,pd_anchor,True,596
357,pd_anchor,True,596
358,pd_anchor,True,596
359,pd_anchor,True,596
360,pd_anchor,True,596
361,pd_anchor,False,492
362,pd_anchor,True,596
363,pd_anchor,True,596
364,pd_anchor,True,596
365,past_self_00239,False,528
366,past_self_00359,False,528
367,past_self_00359,False,528
368,pd_anchor,True,596
369,pd_anchor,True,596
370,pd_anchor,False,492
371,pd_anchor,True,596
372,pd_anchor,True,596
373,pd_anchor,True,596
374,past_self_00359,False,528
375,past_self_00239,True,668
376,pd_anchor,True,596
377,pd_anchor,True,596
378,past_self_00239,False,528
379,pd_anchor,True,596
380,past_self_00359,False,528
381,pd_anchor,True,596
382,pd_anchor,True,596
383,pd_anchor,True,596
384,past_self_00299,False,528
385,pd_anchor,True,596
386,pd_anchor,True,596
387,pd_anchor,True,596
388,pd_anchor,True,596
389,past_self_00359,False,528
390,past_self_00239,False,528
391,past_self_00299,False,528
392,pd_anchor,True,596
393,past_self_00359,False,528
394,pd_anchor,True,596
395,pd_anchor,True,596
396,pd_anchor,True,596
397,past_self_00359,False,528
398,pd_anchor,True,596
399,pd_anchor,True,596
400,pd_anchor,True,596
401,pd_anchor,True,596
402,pd_anchor,True,596
403,pd_anchor,False,492
404,pd_anchor,True,596
405,pd_anchor,True,596
406,pd_anchor,True,596
407,pd_anchor,True,596
408,pd_anchor,True,596
409,past_self_00239,False,528
410,past_self_00359,False,528
411,pd_anchor,False,492
412,pd_anchor,True,596
413,pd_anchor,False,492
414,pd_anchor,True,596
415,pd_anchor,True,596
416,pd_anchor,True,596
417,past_self_00339,False,528
418,pd_anchor,True,596
419,pd_anchor,True,596
420,pd_anchor,True,596
421,pd_anchor,False,492
422,pd_anchor,True,596
423,past_self_00299,False,528
424,pd_anchor,False,492
425,pd_anchor,False,492
426,past_self_00339,False,528
427,pd_anchor,False,492
428,pd_anchor,False,492
429,pd_anchor,False,492
430,pd_anchor,False,492
431,pd_anchor,True,596
432,pd_anchor,False,492
433,pd_anchor,True,596
434,past_self_00239,False,528
435,past_self_00239,False,528
436,pd_anchor,True,596
437,pd_anchor,True,596
438,past_self_00359,False,528
439,past_self_00339,False,528
440,pd_anchor,True,596
441,pd_anchor,True,596
442,pd_anchor,False,492
443,pd_anchor,True,596
444,pd_anchor,True,596
445,pd_anchor,True,596
446,pd_anchor,True,596
447,pd_anchor,True,596
448,pd_anchor,False,492
449,pd_anchor,True,596
450,pd_anchor,True,596
451,pd_anchor,True,596
452,pd_anchor,True,596
453,pd_anchor,True,596
454,pd_anchor,True,596
455,pd_anchor,True,596
456,pd_anchor,True,596
457,pd_anchor,True,596
458,past_self_00359,False,528
459,pd_anchor,True,596
460,pd_anchor,True,596
461,pd_anchor,True,596
462,pd_anchor,True,596
463,past_self_00359,False,528
464,pd_anchor,True,596
465,pd_anchor,True,596
466,pd_anchor,True,596
467,pd_anchor,True,596
468,pd_anchor,False,492
469,pd_anchor,False,492
470,pd_anchor,True,596
471,pd_anchor,True,596
472,pd_anchor,True,596
473,pd_anchor,True,596
474,pd_anchor,True,596
475,pd_anchor,True,596
476,pd_anchor,True,596
477,pd_anchor,True,596
478,pd_anchor,True,596
479,pd_anchor,True,596
480,pd_anchor,False,492
481,past_self_00239,False,528
482,pd_anchor,True,596
483,pd_anchor,True,596
484,pd_anchor,True,596
485,pd_anchor,True,596
486,past_self_00239,False,528
487,past_self_00359,False,528
488,pd_anchor,True,596
489,past_self_00459,False,528
490,pd_anchor,True,596
491,pd_anchor,True,596
492,past_self_00459,False,528
493,pd_anchor,True,596
494,pd_anchor,True,596
495,pd_anchor,True,596
496,past_self_00459,False,528
497,pd_anchor,True,596
498,pd_anchor,True,596
499,past_self_00299,False,528
500,pd_anchor,True,596
501,pd_anchor,True,596
502,pd_anchor,True,596
503,pd_anchor,False,492
504,pd_anchor,False,492
505,pd_anchor,True,596
506,past_self_00299,False,528
507,pd_anchor,True,596
508,pd_anchor,True,596
509,pd_anchor,True,596
510,pd_anchor,False,492
511,pd_anchor,False,492
512,pd_anchor,True,596
513,pd_anchor,False,492
514,pd_anchor,True,596
515,pd_anchor,True,596
516,pd_anchor,False,492
517,pd_anchor,True,596
518,pd_anchor,True,596
519,pd_anchor,True,596
520,pd_anchor,True,596
521,pd_anchor,True,596
522,pd_anchor,True,596
523,pd_anchor,True,596
524,pd_anchor,False,492
525,pd_anchor,True,596
526,pd_anchor,True,596
527,pd_anchor,True,596
528,pd_anchor,True,596
529,pd_anchor,True,596
530,pd_anchor,False,492
531,pd_anchor,True,596
532,pd_anchor,True,596
533,pd_anchor,True,596
534,pd_anchor,True,596
535,pd_anchor,False,492
536,pd_anchor,True,596
537,past_self_00239,False,528
538,pd_anchor,True,596
539,pd_anchor,False,492
540,pd_anchor,True,596
541,pd_anchor,True,596
542,pd_anchor,True,596
543,pd_anchor,True,596
544,pd_anchor,False,492
545,pd_anchor,True,596
546,pd_anchor,True,596
547,pd_anchor,True,596
548,pd_anchor,True,596
549,pd_anchor,True,596
550,pd_anchor,True,596
551,pd_anchor,True,596
552,pd_anchor,True,596
553,pd_anchor,True,596
554,pd_anchor,True,596
555,pd_anchor,True,596
556,pd_anchor,True,596
557,pd_anchor,False,492
558,pd_anchor,True,596
559,pd_anchor,True,596
560,pd_anchor,False,492
561,pd_anchor,True,596
562,pd_anchor,True,596
563,pd_anchor,True,596
564,pd_anchor,True,596
565,past_self_00339,False,528
566,past_self_00239,False,528
567,pd_anchor,True,596
568,pd_anchor,True,596
569,pd_anchor,True,596
570,pd_anchor,True,596
571,pd_anchor,True,596
572,past_self_00459,False,528
573,pd_anchor,True,596
574,pd_anchor,True,596
575,past_self_00559,False,528
576,pd_anchor,True,596
577,pd_anchor,True,596
578,past_self_00299,False,528
579,pd_anchor,True,596
580,pd_anchor,True,596
581,pd_anchor,True,596
582,past_self_00239,False,528
583,pd_anchor,True,596
584,pd_anchor,True,596
585,pd_anchor,True,596
586,pd_anchor,True,596
587,pd_anchor,True,596
588,past_self_00339,False,528
589,pd_anchor,True,596
590,pd_anchor,True,596
591,pd_anchor,True,596
592,pd_anchor,True,596
593,pd_anchor,True,596
594,pd_anchor,True,596
595,pd_anchor,True,596
596,past_self_00339,False,528
597,pd_anchor,False,492
598,pd_anchor,True,596
599,past_self_00559,False,528
600,pd_anchor,True,596
601,pd_anchor,True,596
602,pd_anchor,True,596
603,pd_anchor,False,492
604,pd_anchor,True,596
605,pd_anchor,True,596
606,pd_anchor,False,492
607,pd_anchor,True,596
608,pd_anchor,True,596
609,past_self_00479,False,528
610,pd_anchor,True,596
611,pd_anchor,True,596
612,pd_anchor,True,596
613,past_self_00479,False,528
614,pd_anchor,True,596
615,past_self_00459,False,528
616,pd_anchor,True,596
617,pd_anchor,True,596
618,pd_anchor,True,596
619,pd_anchor,True,596
620,pd_anchor,True,596
621,pd_anchor,True,596
622,pd_anchor,True,596
623,past_self_00339,False,528
624,past_self_00339,False,528
625,pd_anchor,True,596
626,pd_anchor,True,596
627,past_self_00479,False,528
628,past_self_00339,False,528
629,pd_anchor,True,596
630,past_self_00559,False,528
631,past_self_00239,False,528
632,past_self_00299,False,528
633,past_self_00239,False,528
634,pd_anchor,True,596
635,pd_anchor,True,596
636,pd_anchor,True,596
637,pd_anchor,True,596
638,pd_anchor,True,596
639,pd_anchor,True,596
640,past_self_00359,False,528
641,past_self_00459,False,528
642,past_self_00359,False,528
643,pd_anchor,True,596
644,pd_anchor,False,492
645,pd_anchor,True,596
646,pd_anchor,False,492
647,past_self_00479,False,528
648,pd_anchor,True,596
649,pd_anchor,True,596
650,pd_anchor,True,596
651,pd_anchor,False,492
652,pd_anchor,True,596
653,pd_anchor,True,596
654,pd_anchor,True,596
655,pd_anchor,False,492
656,pd_anchor,True,596
657,past_self_00559,False,528
658,pd_anchor,True,596
659,past_self_00299,False,528
660,pd_anchor,True,596
661,pd_anchor,True,596
662,pd_anchor,True,596
663,past_self_00239,False,528
664,pd_anchor,True,596
665,pd_anchor,True,596
666,pd_anchor,True,596
667,pd_anchor,True,596
668,past_self_00339,False,528
669,pd_anchor,True,596
670,pd_anchor,True,596
671,pd_anchor,True,596
672,past_self_00359,False,528
673,pd_anchor,True,596
674,pd_anchor,True,596
675,pd_anchor,True,596
676,pd_anchor,True,596
677,pd_anchor,True,596
678,pd_anchor,True,596
679,pd_anchor,True,596
680,pd_anchor,True,596
681,past_self_00459,False,528
682,pd_anchor,True,596
683,pd_anchor,True,596
684,pd_anchor,True,596
685,past_self_00559,False,528
686,past_self_00299,False,528
687,pd_anchor,True,596
688,past_self_00339,False,528
689,past_self_00479,False,528
690,pd_anchor,False,492
691,pd_anchor,True,596
692,pd_anchor,True,596
693,pd_anchor,True,596
694,pd_anchor,True,596
695,pd_anchor,True,596
696,pd_anchor,True,596
697,pd_anchor,True,596
698,pd_anchor,False,492
699,past_self_00359,False,528
700,pd_anchor,True,596
701,pd_anchor,True,596
702,pd_anchor,True,596
703,pd_anchor,True,596
704,pd_anchor,True,596
705,pd_anchor,True,596
706,past_self_00299,False,528
707,pd_anchor,True,596
708,pd_anchor,True,596
709,pd_anchor,True,596
710,pd_anchor,True,596
711,pd_anchor,True,596
712,past_self_00479,False,528
713,past_self_00239,False,528
714,pd_anchor,True,596
