episode,model,config,r_horiz_km,r_vert_km,success,killed_by_sam,crashed,score,steps,min_tf,in_radar_steps,progress_mean,range2d_last_m
40,FT_Return,Scale 120%,12.0,6.0,False,False,False,-241.70191800209898,3999,1.1519258168634472,3999,0.008641717701219166,1005.9266334490992
41,FT_Return,Scale 120%,12.0,6.0,False,True,False,-563.4441331342498,1386,0.999459389034014,1386,0.008043300555417581,22038.042906967486
42,FT_Return,Scale 120%,12.0,6.0,True,False,False,856.3838058545964,2803,1.1930706117409373,2803,0.011103104924551483,1451.8062428298228
43,FT_Return,Scale 120%,12.0,6.0,False,False,True,-690.2115573859795,2821,1.4852486359785382,2390,-0.001038350699347083,37295.828218345574
44,FT_Return,Scale 120%,12.0,6.0,False,False,False,-255.75916733406854,3999,1.1424589825718816,3893,0.009576650226611194,629.9840778303471
45,FT_Return,Scale 120%,12.0,6.0,False,False,True,-574.2689497973654,1146,1.7240890042815997,1146,0.0010866507158172316,36492.5347026652
46,FT_Return,Scale 120%,12.0,6.0,False,False,True,-524.9060348355929,571,1.5310851022370848,571,0.003579171869828061,35441.11304748801
47,FT_Return,Scale 120%,12.0,6.0,False,False,False,-298.10395637241766,3999,1.1883259158020705,3999,0.007747262266914887,259.2297904472791
48,FT_Return,Scale 120%,12.0,6.0,False,False,True,-554.519156030299,902,1.6578238485213117,902,0.0016128164775001624,34555.81937307176
49,FT_Return,Scale 120%,12.0,6.0,False,False,True,-575.0838584069176,1150,1.1887296482042533,1150,0.003145352388520118,34175.239534634275
0,FT_Return,Scale 150%,15.0,7.5,False,True,False,-555.9794197624417,898,0.9993903900589821,898,0.006205255460040151,25382.408691430934
1,FT_Return,Scale 150%,15.0,7.5,False,False,True,-601.24303804862,1039,1.4422928099016563,1039,-0.002495440069911499,33886.41691552169
2,FT_Return,Scale 150%,15.0,7.5,False,True,False,-661.171033087609,1929,0.9997761534118514,1929,0.004135678832844411,28477.932762578825
3,FT_Return,Scale 150%,15.0,7.5,False,False,True,-546.5613780007374,658,1.2958605679068715,658,0.0025482799793038234,33884.41046584247
4,FT_Return,Scale 150%,15.0,7.5,False,False,False,-335.81435705623676,3999,1.3023288357644534,3999,0.004365518339293141,20140.294967777485
5,FT_Return,Scale 150%,15.0,7.5,False,False,True,-724.6098158179848,2389,1.1403387201230764,2389,-0.0009688880729685076,40115.58609821939
6,FT_Return,Scale 150%,15.0,7.5,False,True,False,-547.7115629975278,971,0.9993777527448636,971,0.007862860536907173,23921.047408549457
7,FT_Return,Scale 150%,15.0,7.5,False,True,False,-525.0326671127358,342,0.9990636911276651,342,0.005920006426837017,31247.531268411974
8,FT_Return,Scale 150%,15.0,7.5,False,False,False,-469.13035062796826,3999,1.0583014187972821,3999,0.0076718967973136995,631.857804282869
9,FT_Return,Scale 150%,15.0,7.5,False,False,True,-584.4226360315897,842,1.1412014253628555,842,0.00045416792460205904,34004.51728766521
10,FT_Return,Scale 150%,15.0,7.5,False,False,True,-589.0218846576627,959,1.3446701679023527,959,-8.456823465255872e-05,38422.144315733436
11,FT_Return,Scale 150%,15.0,7.5,False,False,True,-629.065511501916,1144,1.048698706163733,1144,-0.0011497764928020144,38156.620834235626
12,FT_Return,Scale 150%,15.0,7.5,False,False,True,-627.6529718539191,1710,1.19773383289542,1710,0.0007343895114061218,36631.27030321951
13,FT_Return,Scale 150%,15.0,7.5,False,False,True,-611.5664670249466,843,1.0252248715777965,843,-0.003232216880208666,37329.08364675285
14,FT_Return,Scale 150%,15.0,7.5,False,False,True,-529.5273107283833,571,1.4695829118116652,571,0.003807860487046235,34526.35763026291
15,FT_Return,Scale 150%,15.0,7.5,False,False,True,-595.2322186612071,964,1.2675285616279213,964,-3.564079524330513e-05,36398.02449765255
16,FT_Return,Scale 150%,15.0,7.5,False,True,False,-539.4959748772906,498,0.9998314098413433,498,0.005337492899276314,27661.87947157046
17,FT_Return,Scale 150%,15.0,7.5,False,False,True,-581.8202154165375,878,1.4159318061112638,878,-0.0006854467510057815,39153.52654787342
18,FT_Return,Scale 150%,15.0,7.5,False,False,True,-665.4612084330697,1665,1.1574406254178844,1665,-0.00028405511357595297,33422.92177507108
19,FT_Return,Scale 150%,15.0,7.5,False,False,True,-599.8808839821951,950,1.1781137790180376,950,-0.0005378194889681271,37170.55903789922
20,FT_Return,Scale 150%,15.0,7.5,True,False,False,686.7519167941177,3476,1.051574348131439,3476,0.008270405927937697,1490.6707413513298
21,FT_Return,Scale 150%,15.0,7.5,True,False,False,709.75096421437,3240,1.1038770970130092,3240,0.009630003746270516,424.3279048468084
22,FT_Return,Scale 150%,15.0,7.5,False,True,False,-557.9402826945892,979,0.9996854297720317,979,0.007759821822180633,26879.528008654368
23,FT_Return,Scale 150%,15.0,7.5,False,True,False,-607.3965690344273,1766,0.9991854183087898,1766,0.0058100688029040035,23371.493843574484
24,FT_Return,Scale 150%,15.0,7.5,False,False,True,-603.9708139055825,1892,1.5713088559018233,1892,0.0021160603877441067,35101.05674861865
25,FT_Return,Scale 150%,15.0,7.5,False,False,True,-608.4097462652596,1183,1.2867082158127985,1183,0.0009156808164819756,36722.12174271247
26,FT_Return,Scale 150%,15.0,7.5,False,True,False,-500.0,1,0.9904444418187283,1,0.011075119191416889,30965.68725012366
27,FT_Return,Scale 150%,15.0,7.5,False,False,False,-455.5198506007286,3999,1.1239124524580937,3999,0.007950657582007872,1278.9019517076708
28,FT_Return,Scale 150%,15.0,7.5,False,True,False,-580.3772273740371,1385,0.9996095207186536,1385,0.006783848723696824,28207.27588358026
29,FT_Return,Scale 150%,15.0,7.5,False,False,False,-300.53397120167347,3999,1.3365631544286507,3999,0.0012319184563850095,30930.784524011367
30,FT_Return,Scale 150%,15.0,7.5,False,True,False,-500.0,1,0.9200765759203613,1,0.011184328846960852,30416.866940693606
31,FT_Return,Scale 150%,15.0,7.5,False,False,True,-600.0811640387087,1058,1.323840449292761,1058,7.44264683368837e-05,30967.767635056563
32,FT_Return,Scale 150%,15.0,7.5,False,False,True,-630.8531764068014,998,1.0118470063023457,998,-0.004581073344390001,40398.32002962836
33,FT_Return,Scale 150%,15.0,7.5,False,False,True,-593.7263653549384,977,1.2275639495325277,977,0.0007806204583665374,38841.74990603382
34,FT_Return,Scale 150%,15.0,7.5,False,True,False,-540.6664053273236,656,0.9995928429747698,656,0.00472370413076842,31783.104368372657
35,FT_Return,Scale 150%,15.0,7.5,False,False,False,-421.5360225639782,3999,1.0958841245336404,3999,0.008631770857395344,231.3543169266469
36,FT_Return,Scale 150%,15.0,7.5,False,False,False,-333.3053641119965,3999,1.4013301204237483,3999,0.00468404688526668,15672.079944514226
37,FT_Return,Scale 150%,15.0,7.5,True,False,False,628.6558943787983,3958,1.102855463876394,3958,0.0077828102627555155,610.8504921927253
38,FT_Return,Scale 150%,15.0,7.5,False,False,True,-595.0219164768607,1069,1.3719586322617798,1069,-1.0261755343629242e-06,32827.36883112949
39,FT_Return,Scale 150%,15.0,7.5,False,True,False,-500.0,1,0.8764568617594078,1,0.011067763979746814,31079.303863028534
40,FT_Return,Scale 150%,15.0,7.5,False,True,False,-575.0665291722746,1432,0.9993388785963939,1432,0.007087644729270545,25414.648468309133
41,FT_Return,Scale 150%,15.0,7.5,False,False,False,-439.6713396083284,3999,1.095915672565387,3999,0.007958890290310074,1358.4552058260786
42,FT_Return,Scale 150%,15.0,7.5,False,True,False,-500.0,1,0.9518259212210811,1,0.011055023291282851,32562.75432305652
43,FT_Return,Scale 150%,15.0,7.5,False,False,True,-707.2106114219398,2148,1.1347012340053335,2148,-0.0009058080621809763,36312.316613052084
44,FT_Return,Scale 150%,15.0,7.5,False,True,False,-658.5125955089527,2039,0.9998437746236466,2039,0.005376299440179521,27964.733775522498
45,FT_Return,Scale 150%,15.0,7.5,False,False,True,-600.9870650107295,947,1.1594755524186908,947,-0.0004816811565983446,38193.988478290434
46,FT_Return,Scale 150%,15.0,7.5,False,False,True,-602.218234551944,1052,1.262010573755308,1052,-0.0001903430778613043,37685.06110306992
47,FT_Return,Scale 150%,15.0,7.5,False,True,False,-500.0,1,0.9870325304212179,1,0.011108684670780349,31229.42291116914
48,FT_Return,Scale 150%,15.0,7.5,False,False,True,-599.0507489663319,982,1.235865774437444,982,6.275868371363563e-05,35948.95080836994
49,FT_Return,Scale 150%,15.0,7.5,False,False,True,-599.212126193557,960,1.1900696206264239,960,-0.00037555242487812636,38152.92510931537
