model,episode,elo
PPO_SelfPlay,74,572.3914794921875
PPO_SelfPlay,75,569.8762817382812
PPO_SelfPlay,76,567.3944091796875
PPO_SelfPlay,77,596.9450073242188
PPO_SelfPlay,78,594.0820922851562
PPO_SelfPlay,79,591.2618408203125
PPO_SelfPlay,80,588.4830932617188
PPO_SelfPlay,81,585.74462890625
PPO_SelfPlay,82,583.04541015625
PPO_SelfPlay,83,580.3843383789062
PPO_SelfPlay,84,577.7603759765625
PPO_SelfPlay,85,575.172607421875
PPO_SelfPlay,86,572.6199951171875
PPO_SelfPlay,87,570.1017456054688
PPO_SelfPlay,88,567.6168823242188
PPO_SelfPlay,89,565.1646118164062
PPO_SelfPlay,90,562.744140625
PPO_SelfPlay,91,560.3546752929688
PPO_SelfPlay,92,589.9954223632812
PPO_SelfPlay,93,587.2350463867188
PPO_SelfPlay,94,584.5145263671875
PPO_SelfPlay,95,581.832763671875
PPO_SelfPlay,96,579.1886596679688
PPO_SelfPlay,97,576.5812377929688
PPO_SelfPlay,98,574.0095825195312
PPO_SelfPlay,99,571.47265625
PPO_SelfPlay,100,568.9696655273438
PPO_SelfPlay,101,566.499755859375
PPO_SelfPlay,102,596.06201171875
PPO_SelfPlay,103,625.2122802734375
PPO_SelfPlay,104,621.8959350585938
PPO_SelfPlay,105,618.6358642578125
PPO_SelfPlay,106,615.4303588867188
PPO_SelfPlay,107,612.2776489257812
PPO_SelfPlay,108,609.1761474609375
PPO_SelfPlay,109,638.1243286132812
PPO_SelfPlay,110,666.5803833007812
PPO_SelfPlay,111,694.4863891601562
PPO_SelfPlay,112,689.7838134765625
PPO_SelfPlay,113,717.1887817382812
PPO_SelfPlay,114,711.9373779296875
PPO_SelfPlay,115,706.8173217773438
PPO_SelfPlay,116,733.8228149414062
PPO_SelfPlay,117,728.1375122070312
PPO_SelfPlay,118,722.6035766601562
PPO_SelfPlay,119,717.2139282226562
PPO_SelfPlay,120,743.9619140625
PPO_SelfPlay,121,737.9985961914062
PPO_SelfPlay,122,732.2000122070312
PPO_SelfPlay,123,758.5582275390625
PPO_SelfPlay,124,784.1763916015625
